steps, health, gold, time, win
376, -7, 40, 207, 0
538, 2751, 230, 301, 1
356, -1, 10, 201, 0
189, -1, 0, 101, 0
109, -64, 0, 64, 0
278, -49, 150, 149, 0
159, -96, 0, 96, 0
371, -6, 60, 206, 0
1577, -49, 250, 987, 0
256, -49, 80, 149, 0
823, -70, 210, 470, 0
269, -49, 20, 149, 0
400, -20, 20, 220, 0
412, -25, 20, 225, 0
476, -72, 20, 272, 0
298, -71, 50, 171, 0
336, -92, 100, 192, 0
253, -37, 60, 137, 0
549, 551, 440, 308, 1
872, 1281, 240, 521, 1
277, -52, 120, 152, 0
348, -1, 30, 201, 0
543, 114, 160, 306, 1
226, -21, 110, 121, 0
155, -97, 0, 97, 0
92, -47, 0, 47, 0
628, -66, 50, 366, 0
545, 1713, 440, 296, 1
486, -34, 10, 284, 0
90, -50, 0, 50, 0
183, -3, 0, 103, 0
235, -28, 0, 128, 0
338, -91, 0, 191, 0
597, -35, 50, 335, 0
321, -84, 0, 184, 0
339, -1, 0, 201, 0
533, 2075, 380, 298, 1
134, -70, 0, 70, 0
441, -45, 60, 245, 0
501, -1, 40, 301, 0
249, -33, 50, 133, 0
224, -20, 80, 120, 0
194, -13, 60, 113, 0
442, -51, 210, 251, 0
350, -84, 40, 189, 0
359, -1, 60, 201, 0
1049, -34, 30, 634, 0
633, -67, 10, 367, 0
235, -29, 0, 129, 0
262, -36, 90, 136, 0
211, -15, 40, 115, 0
106, -55, 0, 55, 0
142, -74, 0, 74, 0
384, -101, 0, 201, 0
355, -1, 0, 201, 0
609, 1263, 460, 344, 1
161, -91, 20, 91, 0
247, -37, 10, 137, 0
74, -38, 0, 38, 0
1207, 1012, 130, 706, 1
207, -9, 90, 109, 0
305, -75, 100, 175, 0
177, -99, 50, 99, 0
352, -100, 0, 200, 0
185, -1, 0, 101, 0
447, -76, 70, 238, 0
427, -28, 10, 228, 0
292, -52, 140, 152, 0
96, -54, 0, 54, 0
255, -37, 0, 137, 0
569, 217, 180, 326, 1
637, 2114, 340, 340, 1
422, -30, 70, 230, 0
1080, 654, 450, 633, 1
231, -29, 80, 129, 0
250, -32, 90, 132, 0
234, -25, 0, 125, 0
341, -88, 90, 188, 0
486, -71, 250, 271, 0
735, -2, 10, 413, 0
661, -90, 80, 390, 0
493, 692, 320, 270, 1
