2016-11-17 17:28:14,945 INFO:Logging init parameters : {'filename': './GA.log', 'format': '%(asctime)s %(levelname)s:%(message)s', 'level': 20, 'filemode': 'w'}
2016-11-17 17:28:14,946 INFO:Model 0 inititalized
2016-11-17 17:29:08,690 INFO:Waypoints : 80, Coverage 12.903226%
2016-11-17 17:29:08,693 INFO:Waypoints : 81, Coverage 13.064516%
2016-11-17 17:29:08,694 INFO:Waypoints : 82, Coverage 13.225806%
2016-11-17 17:29:08,694 INFO:Waypoints : 83, Coverage 13.387097%
2016-11-17 17:29:08,696 INFO:Waypoints : 84, Coverage 13.548387%
2016-11-17 17:29:08,697 INFO:Waypoints : 85, Coverage 13.709677%
2016-11-17 17:29:08,698 INFO:Waypoints : 86, Coverage 13.870968%
2016-11-17 17:29:08,700 INFO:Waypoints : 86, Coverage 13.870968%
2016-11-17 17:29:08,700 INFO:Waypoints : 87, Coverage 14.032258%
2016-11-17 17:29:08,701 INFO:Waypoints : 88, Coverage 14.193548%
2016-11-17 17:29:08,703 INFO:Waypoints : 89, Coverage 14.354839%
2016-11-17 17:29:08,704 INFO:Waypoints : 90, Coverage 14.516129%
2016-11-17 17:29:08,706 INFO:Waypoints : 91, Coverage 14.677419%
2016-11-17 17:29:08,707 INFO:Waypoints : 92, Coverage 14.838710%
2016-11-17 17:29:08,707 INFO:Waypoints : 93, Coverage 15.000000%
2016-11-17 17:29:08,709 INFO:Waypoints : 94, Coverage 15.161290%
2016-11-17 17:29:08,710 INFO:Waypoints : 95, Coverage 15.322581%
2016-11-17 17:29:08,711 INFO:Waypoints : 96, Coverage 15.483871%
2016-11-17 17:29:08,713 INFO:Waypoints : 97, Coverage 15.645161%
2016-11-17 17:29:08,713 INFO:Waypoints : 98, Coverage 15.806452%
2016-11-17 17:29:08,714 INFO:Waypoints : 98, Coverage 15.806452%
2016-11-17 17:29:08,717 INFO:Waypoints : 99, Coverage 15.967742%
2016-11-17 17:29:08,717 INFO:Waypoints : 100, Coverage 16.129032%
2016-11-17 17:29:08,719 INFO:Waypoints : 101, Coverage 16.290323%
2016-11-17 17:29:08,720 INFO:Waypoints : 102, Coverage 16.451613%
2016-11-17 17:29:08,721 INFO:Waypoints : 102, Coverage 16.451613%
2016-11-17 17:29:08,723 INFO:Waypoints : 103, Coverage 16.612903%
2016-11-17 17:29:08,723 INFO:Waypoints : 104, Coverage 16.774194%
2016-11-17 17:29:08,724 INFO:Waypoints : 105, Coverage 16.935484%
2016-11-17 17:29:08,726 INFO:Waypoints : 106, Coverage 17.096774%
2016-11-17 17:29:08,726 INFO:Waypoints : 107, Coverage 17.258065%
2016-11-17 17:29:08,729 INFO:Waypoints : 108, Coverage 17.419355%
2016-11-17 17:29:08,730 INFO:Waypoints : 109, Coverage 17.580645%
2016-11-17 17:29:08,732 INFO:Waypoints : 110, Coverage 17.741935%
2016-11-17 17:29:08,733 INFO:Waypoints : 110, Coverage 17.741935%
2016-11-17 17:29:08,733 INFO:Waypoints : 111, Coverage 17.903226%
2016-11-17 17:29:08,734 INFO:Waypoints : 112, Coverage 18.064516%
2016-11-17 17:29:08,736 INFO:Waypoints : 113, Coverage 18.225806%
2016-11-17 17:29:08,737 INFO:Waypoints : 113, Coverage 18.225806%
2016-11-17 17:29:08,740 INFO:Waypoints : 114, Coverage 18.387097%
2016-11-17 17:29:08,740 INFO:Waypoints : 115, Coverage 18.548387%
2016-11-17 17:29:08,743 INFO:Waypoints : 115, Coverage 18.548387%
2016-11-17 17:29:08,744 INFO:Waypoints : 116, Coverage 18.709677%
2016-11-17 17:29:08,746 INFO:Waypoints : 117, Coverage 18.870968%
2016-11-17 17:29:08,747 INFO:Waypoints : 118, Coverage 19.032258%
2016-11-17 17:29:08,749 INFO:Waypoints : 119, Coverage 19.193548%
2016-11-17 17:29:08,750 INFO:Waypoints : 120, Coverage 19.354839%
2016-11-17 17:29:08,752 INFO:Waypoints : 121, Coverage 19.516129%
2016-11-17 17:29:08,753 INFO:Waypoints : 122, Coverage 19.677419%
2016-11-17 17:29:08,753 INFO:Waypoints : 123, Coverage 19.838710%
2016-11-17 17:29:08,756 INFO:Waypoints : 124, Coverage 20.000000%
2016-11-17 17:29:08,756 INFO:Waypoints : 125, Coverage 20.161290%
2016-11-17 17:29:08,759 INFO:Waypoints : 126, Coverage 20.322581%
2016-11-17 17:29:08,759 INFO:Waypoints : 127, Coverage 20.483871%
2016-11-17 17:29:08,762 INFO:Waypoints : 128, Coverage 20.645161%
2016-11-17 17:29:08,763 INFO:Waypoints : 129, Coverage 20.806452%
2016-11-17 17:29:08,763 INFO:Waypoints : 130, Coverage 20.967742%
2016-11-17 17:29:08,766 INFO:Waypoints : 131, Coverage 21.129032%
2016-11-17 17:29:08,766 INFO:Waypoints : 132, Coverage 21.290323%
2016-11-17 17:29:08,769 INFO:Waypoints : 133, Coverage 21.451613%
2016-11-17 17:29:08,770 INFO:Waypoints : 134, Coverage 21.612903%
2016-11-17 17:29:08,772 INFO:Waypoints : 135, Coverage 21.774194%
2016-11-17 17:29:08,773 INFO:Waypoints : 136, Coverage 21.935484%
2016-11-17 17:29:08,776 INFO:Waypoints : 137, Coverage 22.096774%
2016-11-17 17:29:08,778 INFO:Waypoints : 138, Coverage 22.258065%
2016-11-17 17:29:08,779 INFO:Waypoints : 139, Coverage 22.419355%
2016-11-17 17:29:08,780 INFO:Waypoints : 140, Coverage 22.580645%
2016-11-17 17:29:08,782 INFO:Waypoints : 141, Coverage 22.741935%
2016-11-17 17:29:08,785 INFO:Waypoints : 141, Coverage 22.741935%
